,_id,ltable_id,rtable_id,ltable_title,ltable_cast,ltable_directors,ltable_writers,ltable_genres,ltable_keywords,ltable_content_rating,ltable_languages,ltable_budget,ltable_revenue,ltable_opening_weekend_revenue,ltable_production_companies,ltable_production_countries,ltable_alternative_titles,rtable_title,rtable_cast,rtable_directors,rtable_writers,rtable_genres,rtable_keywords,rtable_content_rating,rtable_languages,rtable_budget,rtable_revenue,rtable_opening_weekend_revenue,rtable_production_companies,rtable_production_countries,rtable_alternative_titles
10,10,a572,b786,Star Trek II: The Wrath of Khan,William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;Walter Koenig,Nicholas Meyer,Gene Roddenberry;Harve Bennett,Action;Adventure;Sci-Fi,planet;space station;trap;taunt;jamming communications,PG,English,$11200000,$97000000,$14347221,Paramount Pictures,USA,Star Trek II: The Undiscovered Country,Star Trek VI: The Undiscovered Country,William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;George Takei,Nicholas Meyer,Nicholas Meyer;Denny Martin Flinn,Science Fiction;Action;Adventure;Thriller,farewell;federation;starfleet;peace conference;uss enterprise-a;rura penthe;court case;peace contract;plan;klingon;space opera,PG,English,$27000000.00,$96900000.00,,,,
11,11,a803,b347,The Raid 2,Iko Uwais;Arifin Putra;Tio Pakusadewo;Oka Antara;Alex Abbad,Gareth Evans,Gareth Evans,Action;Thriller,prison;jakarta indonesia;police;undercover;gangster,R,Indonesian;Japanese;English,$4500000,,$165292,Pt. Merantau Films;XYZ Films,Indonesia;USA,The Raid 2,The Raid,Iko Uwais;Joe Taslim;Donny Alamsyah;Yayan Ruhian;Ray Sahetapy,Gareth Evans,Gareth Evans,Action;Thriller;Crime,crime boss;tenement;high rise;monitor;tower block;jakarta indonesia;swat;swat team,R,Indonesian,$1100000.00,$4105187.00,,,,
12,12,a423,b2936,Despicable Me,Steve Carell;Jason Segel;Russell Brand;Julie Andrews;Will Arnett,Pierre Coffin;Chris Renaud,Cinco Paul;Ken Daurio,Animation;Adventure;Comedy;Family;Fantasy,girl;moon;white picket fence;pyramid;minion,PG,English,$69000000,$543113985,$56397125,Universal Pictures;Illumination Entertainment,USA;France,Mi villano favorito,Despicable Me 2,Steve Carell;Kristen Wiig;Benjamin Bratt;Miranda Cosgrove;Dana Gaier,Pierre Coffin;Chris Renaud,Cinco Paul;Ken Daurio,Animation;Comedy;Family,parent child relationship;secret agent;bakery;good vs evil;falling in love;family;duringcreditsstinger;first date;minions,PG,English,$76000000.00,$970761885.00,,,,
13,13,a198,b550,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp;Geoffrey Rush;Orlando Bloom;Keira Knightley;Jack Davenport,Gore Verbinski,Ted Elliott;Terry Rossio,Action;Adventure;Fantasy,curse;undead;pirate;governor;caribbean,PG-13,English,$140000000,$654264015,$46630690,Walt Disney Pictures;Jerry Bruckheimer Films,USA,P.O.T.C.,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp;Orlando Bloom;Keira Knightley;Stellan Skarsgård;Bill Nighy,Gore Verbinski,Ted Elliott;Ted Elliott;Terry Rossio;Terry Rossio,Adventure;Fantasy;Action,witch;fortune teller;bondage;exotic island;monster;captain;card game;east india trading company;compass;ship;daughter;pirate;swashbuckler;aftercreditsstinger,PG-13,English,$200000000.00,$1065659812.00,,,,
14,14,a778,b578,The Naked Gun: From the Files of Police Squad!,Leslie Nielsen;Priscilla Presley;Ricardo Montalban;George Kennedy;O.J. Simpson,David Zucker,Jerry Zucker;Jim Abrahams,Comedy;Crime,assassin;terrorist;good versus evil;police;queen,PG-13,English,$12000000,,$9300000,Paramount Pictures,USA,Police Squad!,The Naked Gun 2½: The Smell of Fear,Leslie Nielsen;Priscilla Presley;George Kennedy;O.J. Simpson;Robert Goulet,David Zucker,David Zucker;Pat Proft;Jim Abrahams,Comedy;Crime,washington d.c.;usa president;spoof;the white house,PG-13,English,$23000000.00,$86930411.00,,,,
15,15,a423,b3110,Despicable Me,Steve Carell;Jason Segel;Russell Brand;Julie Andrews;Will Arnett,Pierre Coffin;Chris Renaud,Cinco Paul;Ken Daurio,Animation;Adventure;Comedy;Family;Fantasy,girl;moon;white picket fence;pyramid;minion,PG,English,$69000000,$543113985,$56397125,Universal Pictures;Illumination Entertainment,USA;France,Mi villano favorito,Despicable Me 3,Steve Carell;Kristen Wiig;Trey Parker;Miranda Cosgrove;Dana Gaier,Pierre Coffin;Kyle Balda,Cinco Paul;Ken Daurio,Action;Animation;Comedy,good vs evil;minions;despicable,PG,English,$80000000.00,$1031552585.00,,,,
16,16,a345,b3133,Star Wars: Episode VI - Return of the Jedi,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams;Anthony Daniels,Richard Marquand,Lawrence Kasdan;George Lucas,Action;Adventure;Fantasy;Sci-Fi,death star;villain turns good;rebel;empire;emperor,PG,English,$32500000,$572705079,$30490619,Lucasfilm,USA,Blue Harvest,The Empire Strikes Back,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams;Anthony Daniels,Irvin Kershner,Lawrence Kasdan;Leigh Brackett;George Lucas,Adventure;Action;Science Fiction,rebel;android;asteroid;space battle;snow storm;space colony;spaceship;lightsaber;jedi;good vs evil;rebellion;the force;space opera;stormtrooper;wookie;jedi master;jedi training;droid,PG,English,$18000000.00,$538400000.00,,,,
17,17,a209,b2569,The Godfather: Part III,Al Pacino;Diane Keaton;Talia Shire;Andy Garcia;Eli Wallach,Francis Ford Coppola,Mario Puzo;Francis Ford Coppola,Crime;Drama,repeating history;family relationships;mob hit;1970s;opera,R,English;Italian;German;Latin,$54000000,$136766062,$6387271,Paramount Pictures;Zoetrope Studios,USA,Mario Puzo's The Godfather: Part III,The Godfather: Part II,Al Pacino;Robert Duvall;Diane Keaton;Robert De Niro;John Cazale,Francis Ford Coppola,Mario Puzo;Mario Puzo;Francis Ford Coppola,Drama;Crime,italy;italian american;cuba;melancholy;praise;revenge;mafia;lawyer;blood;crime;suburb;corrupt politician;bloody body of child;man punches woman,R,English,$13000000.00,$102600000.00,,,,
18,18,a361,b2151,The Boondock Saints,Willem Dafoe;Sean Patrick Flanery;Norman Reedus;David Della Rocco;Billy Connolly,Troy Duffy,Troy Duffy,Action;Crime;Thriller,fbi agent;irish;fbi;mafia;friend,R,English;Spanish;Papiamento;Russian;Latin,$7000000,,$19930,Franchise Pictures;Brood Syndicate;Fried Films,USA;Canada,Der blutige Pfad Gottes,The Boondock Saints II: All Saints Day,Sean Patrick Flanery;Norman Reedus;Billy Connolly;Clifton Collins Jr;Julie Benz,Troy Duffy,Troy Duffy;Troy Duffy;Taylor Duffy,Action;Thriller;Crime,boston;sheep;friendship;sequel;revenge;ireland,R,English,$8000000.00,$10629321.00,,,,
19,19,a763,b383,Dawn of the Dead,David Emge;Ken Foree;Scott H. Reiniger;Gaylen Ross;David Crawford,George A. Romero,George A. Romero,Horror;Thriller,cult film;flesh eating;pennsylvania;zombie apocalypse;looter,UNRATED,English;Spanish,$650000,$55000000,,Dawn Associates;Laurel Group,USA;Italy,George A. Romero's Dawn of the Dead,Diary of the Dead,Michelle Morgan;Joshua Close;Shawn Roberts;Amy Lalonde;Joe Dinicol,George A. Romero,George A. Romero,Horror;Action;Science Fiction,zombie;found footage,R,English,$2000000.00,$5364858.00,,,,
20,20,a198,b2757,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp;Geoffrey Rush;Orlando Bloom;Keira Knightley;Jack Davenport,Gore Verbinski,Ted Elliott;Terry Rossio,Action;Adventure;Fantasy,curse;undead;pirate;governor;caribbean,PG-13,English,$140000000,$654264015,$46630690,Walt Disney Pictures;Jerry Bruckheimer Films,USA,P.O.T.C.,Pirates of the Caribbean: At World's End,Johnny Depp;Orlando Bloom;Keira Knightley;Stellan Skarsgård;Chow Yun-fat,Gore Verbinski,Ted Elliott;Terry Rossio,Adventure;Fantasy;Action,ocean;sea;drug abuse;exotic island;east india trading company;love of one's life;traitor;shipwreck;strong woman;ship;alliance;calypso;afterlife;fighter;pirate;swashbuckler;aftercreditsstinger,PG-13,English,$300000000.00,$961000000.00,,,,
21,21,a609,b108,The Raid: Redemption,Iko Uwais;Joe Taslim;Donny Alamsyah;Yayan Ruhian;Pierre Gruno,Gareth Evans,Gareth Evans,Action;Thriller,indonesia;apartment;police;swat team;gangster,R,Indonesian,$1100000,,$213785,Pt. Merantau Films;Celluloid Dreams;XYZ Films,Indonesia;France;USA,The Raid: Redemption,The Raid 2,Iko Uwais;Arifin Putra;Oka Antara;Tio Pakusadewo;Alex Abbad,Gareth Evans,Gareth Evans,Action;Crime;Thriller,prison;undercover;fight;gangster;police;violence;outnumbered,,Indonesian,$4500000.00,$2627209.00,,,,
22,22,a725,b1976,Night of the Living Dead,Duane Jones;Judith O'Dea;Karl Hardman;Marilyn Eastman;Keith Wayne,George A. Romero,John A. Russo;George A. Romero,Horror,zombie;basement;cemetery;running out of gas;night of the living dead,NOT RATED,English,$114000,$30000000,$5452,Image Ten;Laurel Group;Market Square Productions,USA,Laugh Track: Night of the Living Dead,Night of the Living Dead,Patricia Tallman;Tony Todd;Tom Towles;McKee Anderson;Bill Moseley,Tom Savini,George A. Romero,Horror,remake;attack;zombie;chainsaw,R,English,$4200000.00,$5835247.00,,,,
23,23,a809,b2729,Manhattan,Woody Allen;Diane Keaton;Michael Murphy;Mariel Hemingway;Meryl Streep,Woody Allen,Woody Allen;Marshall Brickman,Comedy;Drama;Romance,place name in title;national film registry;book;writing;writer,R,English,$9000000,,$485734,Jack Rollins & Charles H. Joffe Productions,USA,Manhetenas,Sleeper,Woody Allen;Diane Keaton;John Beck;Mary Gregory;Brian Avery,Woody Allen,Woody Allen;Marshall Brickman,Comedy;Romance;Science Fiction,sex;revolution;future;dystopia;government;control;satire;independent film;robot;tyranny;cyrogenics;anarchic comedy,PG,English,$2000000.00,$18344729.00,,,,
24,24,a763,b3403,Dawn of the Dead,David Emge;Ken Foree;Scott H. Reiniger;Gaylen Ross;David Crawford,George A. Romero,George A. Romero,Horror;Thriller,cult film;flesh eating;pennsylvania;zombie apocalypse;looter,UNRATED,English;Spanish,$650000,$55000000,,Dawn Associates;Laurel Group,USA;Italy,George A. Romero's Dawn of the Dead,Land of the Dead,Simon Baker;John Leguizamo;Dennis Hopper;Robert Joy;Asia Argento,George A. Romero,George A. Romero,Horror,cage;dystopia;survivor;zombie;zombie apocalypse,,English,$15000000.00,$46770602.00,,,,
25,25,a252,b4965,The Hangover,Bradley Cooper;Ed Helms;Zach Galifianakis;Justin Bartha;Heather Graham,Todd Phillips,Jon Lucas;Scott Moore,Comedy,female frontal nudity;morning after;female nudity;hangover;drunkenness,R,English,$35000000,$467483912,$44979319,Warner Bros.;Legendary Entertainment;Green Hat Films,USA;Germany,¿Qué pasó ayer?,The Hangover Part II,Bradley Cooper;Ed Helms;Zach Galifianakis;Justin Bartha;Ken Jeong,Todd Phillips,Todd Phillips;Scot Armstrong;Craig Mazin,Comedy,sun glasses;interpol;undercover cop;hangover;duringcreditsstinger,R,English,$80000000.00,$254455986.00,,,,
26,26,a1093,b1635,The Meaning of Life,Graham Chapman;John Cleese;Terry Gilliam;Eric Idle;Terry Jones,Terry Jones;Terry Gilliam,Graham Chapman;John Cleese,Comedy;Musical,death character;monty python;meaning of life;sperm;grim reaper,R,English,$9000000,,$1987000,Celandine Films;The Monty Python Partnership;Universal Pictures,UK,Monty Python's The Meaning of Life,Life of Brian,Graham Chapman;John Cleese;Terry Gilliam;Eric Idle;Terry Jones,Terry Jones,Terry Jones;John Cleese;Eric Idle;Graham Chapman;Michael Palin;Terry Gilliam,Comedy,christianity;jewry;resistance;gladiator;roman empire;balcony;miracle;graffiti;jesus christ;doomed man;latin;three kings;crucifixion;bethlehem;dying and death;stoning;religion;sermon on the mount;cult film;anarchic comedy,R,English,$4000000.00,$20045115.00,,,,
27,27,a60,b3662,The Avengers,Robert Downey Jr.;Chris Evans;Mark Ruffalo;Chris Hemsworth;Scarlett Johansson,Joss Whedon,Joss Whedon;Zak Penn,Action;Adventure;Sci-Fi,alien invasion;superhero;s.h.i.e.l.d.;soldier;assassin,PG-13,English;Russian;Hindi,$220000000,$1519557910,$207438708,Marvel Studios;Paramount Pictures,USA,Group Hug,Avengers: Age of Ultron,Robert Downey Jr.;Chris Hemsworth;Mark Ruffalo;Chris Evans;Scarlett Johansson,Joss Whedon,Joss Whedon,Action;Adventure;Science Fiction,sequel;superhero;based on comic;vision;good vs evil;superhero team;captain america;iron man;hulk;duringcreditsstinger;marvel cinematic universe;3d;thor,PG-13,English,$280000000.00,$1405403694.00,,,,
28,28,a723,b399,Before Midnight,Ethan Hawke;Julie Delpy;Seamus Davey-Fitzpatrick;Jennifer Prior;Charlotte Prior,Richard Linklater,Richard Linklater;Julie Delpy,Drama;Romance,greece;hotel;hotel room;american;writer,R,English;Greek;French,$3000000,$23380979,$246914,Faliro House Productions;Venture Forth;Castle Rock Entertainment,USA;Greece,Untitled Before Sunset Sequel,Before Sunrise,Ethan Hawke;Julie Delpy;Andrea Eckert;Hanno Pöschl;Karl Bruckschwaiger,Richard Linklater,Richard Linklater;Kim Krizan,Drama;Romance,dialogue;sunrise;talking;soulmates;walking;austria;traveller;danube;bittersweet;romantic;vienna,R,English,$2500000.00,$5535405.00,,,,
29,29,a97,b1533,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint,David Yates,Steve Kloves;J.K. Rowling,Adventure;Drama;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;professor severus snape character;draco malfoy character,PG-13,English,$125000000,$1341511219,$169189427,Warner Bros.;Heyday Films;Moving Picture Company (MPC),USA;UK,Harry Potter and the Deathly Hallows: Part 2 3D,Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe;Emma Watson;Rupert Grint;Ralph Fiennes;Helena Bonham Carter,David Yates,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,corruption;isolation;radio;magic;teleportation;bravery;tension;attack;werewolf,PG-13,English,$250000000.00,$954305868.00,,,,
30,30,a322,b899,Star Wars: Episode V - The Empire Strikes Back,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams;Anthony Daniels,Irvin Kershner,Leigh Brackett;Lawrence Kasdan,Action;Adventure;Fantasy;Sci-Fi,famous twist;rescue;rebel;duel;snowy landscape,PG,English,$18000000,$247916602,$6415804,Lucasfilm,USA,Star Wars V: The Empire Strikes Back,Return of the Jedi,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams;Anthony Daniels,Richard Marquand,George Lucas;George Lucas;Lawrence Kasdan,Adventure;Action;Science Fiction,sibling relationship;rebel;emperor;space battle;matter of life and death;spaceship;death star;jabba the hutt;ewoks;jedi;space opera,PG,English,$32350000.00,$572700000.00,,,,
31,31,a2353,b2432,Castaway on the Moon,Jae-yeong Jeong;Ryeowon Jung;Yeong-seo Park;Mi-kyeong Yang;Min-heui Hong,Hae-jun Lee,Hae-jun Lee,Drama;Romance,stranded on an island;hikikomori;suicide;climbing;isolation,PG-13,Korean;English,$5000000,,,CJ Entertainment;Banzakbanzak,South Korea,Castaway on the Moon,Castaway on the Moon,Jung Jae-young;Jung Ryeo-won;Yang Mi-kyung;Park Young-seo;Jang So-yeon,Lee Hae-Jun,Lee Hae-Jun,Drama;Comedy;Romance,suicide attempt;isolation;loneliness;castaway,,Korean,-,-,,,,
32,32,a508,b4498,X2,Patrick Stewart;Hugh Jackman;Ian McKellen;Halle Berry;Famke Janssen,Bryan Singer,Zak Penn;David Hayter,Action;Adventure;Fantasy;Sci-Fi;Thriller,supernatural power;ice manipulation;canadian abroad;raven darkholme character;logan character,PG-13,English;German;Italian;Spanish,$110000000,$407711549,$85558731,Twentieth Century Fox;Marvel Enterprises;Donners' Company,Canada;USA,X-2,X-Men,Patrick Stewart;Hugh Jackman;Ian McKellen;Halle Berry;Famke Janssen,Bryan Singer,David Hayter;David Hayter;Bryan Singer;Tom DeSanto,Adventure;Action;Science Fiction,mutant;superhero;based on comic;superhuman,,English,$75000000.00,$296339527.00,,,,
33,33,a241,b188,The Hobbit: The Desolation of Smaug,Ian McKellen;Martin Freeman;Richard Armitage;Ken Stott;Graham McTavish,Peter Jackson,Fran Walsh;Philippa Boyens,Adventure;Fantasy,giant spider;sword and sorcery;elf;dwarf;galadriel character,PG-13,English,$225000000,$960366855,$73645197,Metro-Goldwyn-Mayer (MGM);New Line Cinema;WingNut Films,USA;New Zealand,The Hobbit Part 2,The Hobbit: The Battle of the Five Armies,Martin Freeman;Ian McKellen;Richard Armitage;Ken Stott;Graham McTavish,Peter Jackson,Peter Jackson;Guillermo del Toro;Philippa Boyens;Fran Walsh;J.R.R. Tolkien,Action;Adventure;Fantasy,corruption;elves;dwarves;orcs;middle-earth (tolkien);hobbit;dragon;battle;unlikely friendship;epic battle;sword and sorcery,PG-13,English,$250000000.00,$956019788.00,,,,
34,34,a1586,b292,Legion,George C. Scott;Ed Flanders;Brad Dourif;Scott Wilson;Nancy Fish,William Peter Blatty,William Peter Blatty;William Peter Blatty,Horror,sequel;third part;director's cut;exorcism;exorcist,NOT RATED,English,,,,Morgan Creek Entertainment Group,USA,Legion,The Exorcist III,George C. Scott;Ed Flanders;Brad Dourif;Jason Miller;Nicol Williamson,William Peter Blatty,William Peter Blatty,Thriller;Horror;Mystery,death penalty;suspicion of murder;exorcism;doomed man;investigation;priest;psychiatric hospital;series of murders;missing person,R,English,-,$39024251.00,,,,
35,35,a572,b1764,Star Trek II: The Wrath of Khan,William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;Walter Koenig,Nicholas Meyer,Gene Roddenberry;Harve Bennett,Action;Adventure;Sci-Fi,planet;space station;trap;taunt;jamming communications,PG,English,$11200000,$97000000,$14347221,Paramount Pictures,USA,Star Trek II: The Undiscovered Country,Star Trek III: The Search for Spock,William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;George Takei,Leonard Nimoy,Harve Bennett,Science Fiction;Action;Adventure;Thriller,,PG,English,$18000000.00,$87000000.00,,,,
36,36,a1241,b4048,Broadway Danny Rose,Woody Allen;Mia Farrow;Nick Apollo Forte;Sandy Baron;Corbett Monica,Woody Allen,Woody Allen,Comedy,mistress;singer;mobster;gangster;agent,PG,English;Italian;Yiddish,$8000000,,$953794,Orion Pictures;Jack Rollins & Charles H. Joffe Productions,USA,Brodvejski Danny Rose,Zelig,Woody Allen;Mia Farrow;Patrick Horgan;John Buckwalter;Marvin Chatinover,Woody Allen,Woody Allen,Comedy,paris;great depression;celebrity;mockumentary;chameleon;psychiatrist;newsreel footage;electroconvulsive therapy;1920s;1930s,PG,English,-,$11798616.00,,,,
37,37,a1154,b1091,They Call Me Trinity,Terence Hill;Bud Spencer;Steffen Zacharias;Dan Sturkie;Gisela Hahn,Enzo Barboni,Enzo Barboni,Comedy;Western,identity theft;false identity;spaghetti western;cowboy;farmer,G,Italian,,,,West Film,Italy,My Name Is Trinity,Trinity is Still My Name,"Terence Hill;Bud Spencer;Yanti Somer;Enzo Tarascio;Harry Carey, Jr.",Enzo Barboni,Enzo Barboni,Comedy;Western,gunslinger;sibling relationship;hold-up robbery;brother;mistaken identity;cowboy;spaghetti western,PG,Italian,-,$2100000.00,,,,
