Title|User Score|Director|Screenplay|Top Billed Cast|Release Date|Content Rating|Genres|Keywords|Revenue|Original Language|Runtime|Budget|Homepage
Venus in Fur|72.0|Roman Polanski|Roman Polanski,David Ives|Emmanuelle Seigner,Mathieu Amalric|2013|71|Drama|eroticism,feminism,seduction,masochism,theatre play,machismo,audition,bdsm|$342,183.00|French|1h 36m|-|-
Outbreak|63.0|Wolfgang Petersen|Laurence Dworet,Robert Roy Pool|Dustin Hoffman,Rene Russo,Morgan Freeman,Kevin Spacey,Cuba Gooding Jr.|1995|100|Action,Drama,Science Fiction,Thriller|river,general,research,army,serum,monkey,epidemic,medical research|$189,859,560.00|English|2h 7m|$50,000,000.00|-
La Jetée|79.0|Chris Marker|Chris Marker|Jean Négroni,Hélène Chatelain,Davos Hanich,Jacques Ledoux,André Heinrich|1962|100|Romance,Science Fiction|paris,deja vu,atomkrieg,airport,experiment,museum,radioaktivity,paris orly,childhood memory,time travel,survival,nouvelle vague,short|-|French|0h 28m|-|-
Batman: The Dark Knight Returns, Part 2|79.0|Jay Oliva|Bob Goodman|Peter Weller,Ariel Winter,David Selby,Michael Emerson,Mark Valley|2013|100|Action,Animation|dc comics,future,joker,robin,based on graphic novel,super power,dystopic future|-|English|1h 18m|$3,500,000.00|-
Above the Law|59.0|Andrew Davis|Andrew Davis,Steven Pressfield,Ronald Shusett|Steven Seagal,Pam Grier,Henry Silva,Sharon Stone,Ron Dean|1988|100|Action,Thriller|corruption,chicago,cia,martial arts,senator,vietnam,cop,torture,drug lord|$18,869,631.00|English|1h 39m|$7,500,000.00|-
'71|67.0|Yann Demange|Gregory Burke|Jack O'Connell,Paul Anderson,Sean Harris,Sam Reid,Sam Hazeldine|2014|100|Thriller,Action,Drama,War|1970s,riot,war,british,survival,soldier,ira,explosion,violence,ireland,combat,belfast,streets,abandoned|$1,625,847.00|English|1h 39m|-|-
The War of the Roses|67.0|Danny DeVito|Michael J. Leeson|Kathleen Turner,Michael Douglas,Danny DeVito,Marianne Sägebrecht,Dan Castellaneta|1989|100|Comedy,Drama,Thriller|gymnastics,candelabrum,cat,lawyer,dog|-|English|1h 56m|-|-
Lady in the Water|53.0|M. Night Shyamalan|M. Night Shyamalan|Paul Giamatti,Jeffrey Wright,Bob Balaban,Sarita Choudhury,Cindy Cheung|2006|100|Drama,Thriller,Fantasy,Mystery|fortune teller,religion and supernatural,supernatural powers,mythical creature,hell,swimming pool,nixe,aftercreditsstinger|$42,285,169.00|English|1h 50m|$75,000,000.00|-
Run All Night|63.0|Jaume Collet-Serra||Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook,Bruce McGill|2015|100|Action,Crime,Drama,Mystery,Thriller|hitman,revenge,murder,on the run,mobster|$71,561,644.00|English|1h 54m|$50,000,000.00|-
Lara Croft Tomb Raider: The Cradle of Life|56.0|Jan de Bont|Dean Georgaris|Angelina Jolie,Gerard Butler,Noah Taylor,Djimon Hounsou,Til Schweiger|2003|100|Action,Adventure,Fantasy,Thriller|riddle,treasure,medallion,kenia,alexander the great,pandora's box,chinese mafia,treasure hunt,hong kong,archaeologist,based on video game,archeology |$156,505,388.00|English|1h 57m|$95,000,000.00|-
Mother's Day|58.0|Garry Marshall||Jennifer Aniston,Julia Roberts,Kate Hudson,Jason Sudeikis,Timothy Olyphant|2016|100|Comedy|holiday,mother's day|$48,418,160.00|English|1h 58m|$25,000,000.00|http://www.seemothersday.com/home
Spirit: Stallion of the Cimarron|75.0|Lorna Cook,Kelly Asbury|John Fusco|Matt Damon,James Cromwell,Daniel Studi,Chopper Bernet,Jeff LeBeau|2002|100|Western,Animation,Adventure,Comedy,Family|human being,freedom,mustang,rivalry,wildlife,animation,cavalry,indian war,eyebrow,wild horse|$122,563,539.00|English|1h 23m|$80,000,000.00|-
The Equalizer|71.0|Antoine Fuqua||Denzel Washington,Marton Csokas,Chloë Grace Moretz,David Harbour,Haley Bennett|2014|100|Thriller,Action,Crime|corruption,assassin,hostage,fbi,hitman,russian,security camera,gangster,sadism,vigilante,sociopath,revenge,suspense,organized crime,gore,violence,teenage prostitute,commando,interrogation,surveillance,ex soldier,faked death,loner,call girl,black ops,hand to hand combat,mysterious past|$192,330,738.00|English|2h 12m|$55,000,000.00|-
Abraham Lincoln: Vampire Hunter|55.0|Timur Bekmambetov|Seth Grahame-Smith,Simon Kinberg|Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell|2012|100|Action,Fantasy,Horror|usa president,vampire,steam locomotive,american civil war,19th century,abraham lincoln,3d|-|English|1h 34m|$69,000,000.00|-
Flight of the Phoenix|58.0|John Moore|Edward Burns,Scott Frank|Dennis Quaid,Tyrese Gibson,Giovanni Ribisi,Miranda Otto,Hugh Laurie|2004|100|Action,Adventure,Drama,Thriller|robbery,water,gobi desert,disaster,airplane crash,struggle for survival,desert|$21,009,180.00|English|1h 53m|$45,000,000.00|-
From Dusk Till Dawn|69.0|Robert Rodriguez|Quentin Tarantino|George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu|1996|100|Horror,Action,Thriller,Crime|dancing,sibling relationship,sexual obsession,showdown,sheriff,eroticism,nudity,bank robber,vampire,holy water,siege,stripper,priest,explosion,extreme violence,bank robbery,preacher,hostage situation,crucifix,recreational vehicle,blood spurting,convenience store,female vampire,mexican american border,nightclub entertainer,boa constrictor|$25,836,616.00|English|1h 48m|$19,000,000.00|http://www.miramax.com/movie/from-dusk-till-dawn/
In & Out|63.0|Frank Oz|Paul Rudnick|Kevin Kline,Joan Cusack,Tom Selleck,Matt Dillon,Debbie Reynolds|1997|100|Comedy,Romance|gay,homophobia,coming out,lgbt|-|English|1h 30m|$35,000,000.00|-
Kelly's Heroes|73.0|Brian G. Hutton|Troy Kennedy Martin|Clint Eastwood,Telly Savalas,Don Rickles,Carroll O'Connor,Donald Sutherland|1970|100|Adventure,Comedy,War|gold,world war ii,armor,campaign,u.s. army,gold bar,front,lieutenant,colonel,tank|$5,200,000.00|English|2h 24m|$4,000,000.00|-
Detroit|73.0|Kathryn Bigelow|Mark Boal|John Boyega,Will Poulter,John Krasinski,Anthony Mackie,Algee Smith|2017|100|Crime,Drama,Thriller,History|fire,police brutality,church choir,murder,beating,racism,church,detroit,based on true events,1960s,police violence|$16,790,139.00|English|2h 23m|$34,000,000.00|http://detroit.movie
28 Days|60.0|Betty Thomas|Susannah Grant|Sandra Bullock,Viggo Mortensen,Dominic West,Elizabeth Perkins,Alan Tudyk|2000|100|Comedy,Drama|alcoholism,urteil,car crash,wedding,withdrawal,woman director|-|English|1h 43m|$43,000,000.00|-
Sister Act|65.0|Emile Ardolino|Joseph Howard|Whoopi Goldberg,Maggie Smith,Kathy Najimy,Wendy Makkena,Mary Wickes|1992|100|Music,Comedy|church choir,witness protection,musical,gospel,concert,murder,singer,witness to murder,monastery|$231,605,150.00|English|1h 40m|$31,000,000.00|-
The Mothman Prophecies|61.0|Mark Pellington|Richard Hatem|Richard Gere,Laura Linney,Will Patton,Bob Tracey,Debra Messing|2002|100|Drama,Horror,Mystery|based on novel,small town,dream,motel,hallucination,bridge,alien life-form,warning,tumor,west virginia,urban legend,premonition,telephone call,hospital,reporter,psychic,car wreck,death of wife,mothman,mysterious events,chemical plant|$55,157,539.00|English|1h 59m|$32,000,000.00|-
Mr. Bean's Holiday|61.0|Steve Bendelack|Hamish McColl,Robin Driscoll|Rowan Atkinson,Steve Pemberton,Max Baldry,Emma de Caunes,Willem Dafoe|2007|100|Family,Comedy|holiday,france,movie business,chaos,clumsy fellow,to drop brick,aftercreditsstinger|$229,736,344.00|English|1h 30m|$25,000,000.00|-
Alice Through the Looking Glass|65.0|James Bobin|Linda Woolverton|Johnny Depp,Mia Wasikowska,Anne Hathaway,Helena Bonham Carter,Alan Rickman|2016|100|Adventure,Family,Fantasy|based on novel,clock,queen,sequel,alice in wonderland,dark fantasy,mad hatter,3d|$299,370,084.00|English|1h 53m|$170,000,000.00|http://movies.disney.com/alice-through-the-looking-glass
Panic Room|66.0|David Fincher||Jodie Foster,Kristen Stewart,Forest Whitaker,Dwight Yoakam,Jared Leto|2002|100|Crime,Drama,Thriller|burglar,bunker,housebreaking,safe,money|$196,397,415.00|English|1h 51m|$48,000,000.00|http://www.sonypictures.com/movies/panicroom/
Muppets Most Wanted|62.0|James Bobin|James Bobin,Nicholas Stoller|Ricky Gervais,Ty Burrell,Tina Fey,Steve Whitmire,Eric Jacobson|2014|100|Comedy,Adventure,Crime,Family|musical,the muppets|$80,383,290.00|English|1h 52m|$50,000,000.00|-
Vegas Vacation|60.0|Stephen Kessler|Elisa Bell|Chevy Chase,Beverly D'Angelo,Randy Quaid,Ethan Embry,Marisol Nichols|1997|100|Comedy|gambling,chaos,roulette,family holiday|$36,400,360.00|English|1h 33m|$25,000,000.00|-
Madagascar 3: Europe's Most Wanted|64.0|Eric Darnell,Tom McGrath,Conrad Vernon|Eric Darnell,Noah Baumbach|Ben Stiller,Sacha Baron Cohen,David Schwimmer,Frances McDormand,Chris Rock|2012|100|Animation,Family|madagascar,3d|$746,921,274.00|English|1h 33m|$145,000,000.00|-
The Last Castle|69.0|Rod Lurie|David Scarpa,Graham Yost|Robert Redford,James Gandolfini,Mark Ruffalo,Steve Burton,Delroy Lindo|2001|100|Action,Drama,Thriller|prison,general|$27,642,707.00|English|2h 11m|$72,000,000.00|-
Lord of the Flies|67.0|Peter Brook||James Aubrey,Tom Chapin,Hugh Edwards,Roger Elwin,Tom Gaman|1963|100|Thriller,Adventure,Drama|child murderer,deserted island,dead children,south sea island,all male cast,flogging,survival skills,degeneration,adolescent boy,swine,innocence lost,whipping,asthmatic,aeronautics,rite|-|English|1h 32m|$250,000.00|-
Dragon Ball Z: Battle of Gods|66.0|Masahiro Hosoda|Yusuke Watanabe|Masako Nozawa,Kouichi Yamadera,Masakazu Morita,Ryou Horikawa,Hiromi Tsuru|2013|100|Animation,Action|bingo,based on tv series,dragon,battle,gods,anime|$50,353,002.00|Japanese|1h 25m|-|http://www.dragonball2013.com/
Skyfall|70.0|Sam Mendes||Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris|2012|100|Action,Adventure,Thriller|spy,secret agent,sociopath,killer,art gallery,british secret service,istanbul turkey,imax,uzi,booby trap,impersonating a police officer,macao|$1,108,561,013.00|English|2h 23m|$200,000,000.00|http://www.skyfall-movie.com
Turbo Kid|67.0|Yoann-Karl Whissell,Anouk Whissell,François Simard||Munro Chambers,Laurence Leboeuf,Michael Ironside,Aaron Jeffery,Edwin Wright|2015|100|Action,Adventure,Comedy,Science Fiction|post-apocalyptic,dystopia,gore,bmx,violence,splatter,woman director|-|English|1h 35m|-|-
The Pirates! In an Adventure with Scientists!|64.0|Jeff Newitt,Peter Lord||Hugh Grant,Martin Freeman,Imelda Staunton,David Tennant,Jeremy Piven|2012|100|Animation,Adventure,Family,Comedy|rivalry,stop motion,pirate,aftercreditsstinger,duringcreditsstinger|$118,338,361.00|English|1h 28m|$60,000,000.00|-
Look Who's Talking Now!|48.0|Tom Ropelewski|Tom Ropelewski,Leslie Dixon|John Travolta,Kirstie Alley,Lysette Anthony,Diane Keaton,Danny DeVito|1993|100|Romance,Comedy,Family|sibling relationship,monolog,puppy,dog,family|-|English|1h 36m|-|-
Hardcore Henry|62.0|Ilya Naishuller|Ilya Naishuller|Sharlto Copley,Haley Bennett,Danila Kozlovsky,Tim Roth,Andrei Dementiev|2015|100|Action,Adventure,Science Fiction|cyborg,murder,gore,extreme violence,car chase,levitation,terrorist group,moscow,first person view|$14,333,790.00|English|1h 37m|$10,000,000.00|http://stxmovies.com/hardcorehenry/
He Got Game|67.0|Spike Lee|Spike Lee|Denzel Washington,Ray Allen,Rosario Dawson,Hill Harper,Jill Kelly|1998|100|Drama|prison,parent child relationship,homicide,begnadigung,release from prison,forgiveness,college,basketball,independent film|$21,567,853.00|English|2h 16m|$25,000,000.00|-
Starship Troopers|67.0|Paul Verhoeven|Edward Neumeier|Casper Van Dien,Dina Meyer,Denise Richards,Jake Busey,Neil Patrick Harris|1997|100|Adventure,Action,Thriller,Science Fiction|moon,asteroid,space marine,intelligence,buenos aires,space battle,dystopia,army,satire,spaceship,soldier,drill instructor,military|$121,214,377.00|English|2h 9m|$105,000,000.00|-
If I Stay|73.0|R.J. Cutler|Shauna Cross|Chloë Grace Moretz,Jamie Blackley,Liana Liberato,Mireille Enos,Joshua Leonard|2014|100|Drama|coma,musician,teenage girl,car accident,teenager,out of body experience,teen drama,based on young adult novel|$78,874,843.00|English|1h 46m|$11,000,000.00|-
Arthur|54.0|Jason Winer|Peter Baynham|Russell Brand,Helen Mirren,Greta Gerwig,Jennifer Garner,Geraldine James|2011|100|Comedy,Romance|nanny,remake,billionaire,nail gun,overbearing mother,man child,duringcreditsstinger|$45,735,397.00|English|1h 50m|$40,000,000.00|http://arthurthemovie.warnerbros.com/
Total Recall|71.0|Paul Verhoeven|Gary Goldman,Ronald Shusett,Dan O'Bannon|Arnold Schwarzenegger,Sharon Stone,Rachel Ticotin,Ronny Cox,Michael Ironside|1990|100|Action,Adventure,Science Fiction|oxygen,falsely accused,resistance,mars,double life,telepathy,mutant,hologram,space colony,false identity,secret agent,dystopia,cyberpunk,false memory,implanted memory|$261,317,921.00|English|1h 53m|$10,000,000.00|-
In the Mouth of Madness|72.0|John Carpenter|Michael De Luca|Sam Neill,Julie Carmen,Jürgen Prochnow,David Warner,Peter Jason|1994|100|Horror,Mystery,Thriller|small town,paranoia,new hampshire,insanity,suspense,h.p. lovecraft,diner,author,disappearance,church,violence,gothic,crucifix,new england,insurance investigator,ghost town,publisher,horror novel|$8,946,600.00|English|1h 35m|$8,000,000.00|http://www.theofficialjohncarpenter.com/in-the-mouth-of-madness/
Rudolph, the Red-Nosed Reindeer|69.0|Larry Roemer||Burl Ives,Billie Mae Richards,Larry D. Mann,Stan Francis,Paul Kligman|1964|100|Animation,Family,TV Movie|winter,adventure,kids,christmas|-|English|0h 52m|-|-
The Joneses|61.0|Derrick Borte||David Duchovny,Demi Moore,Amber Heard,Benjamin Hollingsworth,Lauren Hutton|2009|100|Comedy,Drama|independent film,duringcreditsstinger|$7,022,728.00|English|1h 36m|$10,000,000.00|http://www.thejonesesmovie.com/
Lucky Luke|46.0|James Huth|James Huth,Sonja Shillito|Jean Dujardin,Melvil Poupaud,Sylvie Testud,Alexandra Lamy,Michaël Youn|2009|100|Comedy,Western,Adventure|superhero,based on comic,cowboy,street shootout|-|French|1h 43m|$27,000,000.00|-
Departures|77.0|Yojiro Takita|Kundô Koyama|Masahiro Motoki,Ryoko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,Kimiko Yo|2008|100|Drama|dying and death,funeral,musical,odd job|$69,932,387.00|Japanese|2h 10m|-|http://www.departures-themovie.com/
Ghostbusters II|63.0|Ivan Reitman|Harold Ramis,Dan Aykroyd|Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Rick Moranis|1989|100|Comedy,Fantasy|slime,ghostbuster,product placement,reincarnation,painting,crude humor,scream,single mother,old flame,courtroom,book store,chrysler building,river of slime,revolving door,reference to slinky,occult research|$215,394,738.00|English|1h 48m|$37,000,000.00|-
God's Not Dead|60.0|Harold Cronk||Kevin Sorbo,Shane Harper,David A.R. White,Dean Cain,Cassidy Gifford|2014|100|Drama|christian,religion|$29,789,000.00|English|1h 53m|$17,000,000.00|http://www.godsnotdead.com
Changeling|74.0|Clint Eastwood|J. Michael Straczynski|Angelina Jolie,Jeffrey Donovan,John Malkovich,Geoff Pierson,Amy Ryan|2008|100|Crime,Drama,Mystery|usa,corruption,mother,nudity,minister,power,public,government,police,reunion,murder,conspiracy,los angeles,missing,mother love,criticism,1920s,1930s|$113,020,255.00|English|2h 21m|$55,000,000.00|http://www.changelingmovie.net
In Good Company|59.0|Paul Weitz|Paul Weitz|Topher Grace,Scarlett Johansson,Dennis Quaid,Marg Helgenberger,David Paymer|2004|100|Comedy,Drama,Romance|midlife crisis,daughter,bad boss|-|English|1h 49m|-|-
Punisher: War Zone|55.0|Lexi Alexander||Ray Stevenson,Dominic West,Julie Benz,Colin Salmon,Doug Hutchison|2008|100|Action,Crime|broken neck,fbi agent,wall safe,trashed house,aerial shot,military dress uniform,vanity,flare,woman director|$10,089,373.00|English|1h 42m|$20,500,000.00|http://punisherwarzonemovie.com
A Christmas Prince|64.0|Alex Zamm|Nathan Atkins|Rose McIver,Ben Lamb,Alice Krige,Honor Kneafsey,Theo Devaney|2017|100|Romance|prince,romance,woman journalist,christmas,interclass romance|-|English|1h 32m|-|https://www.netflix.com/title/80160759
Napoleon Dynamite|67.0|Jared Hess|Jared Hess,Jerusha Hess|Jon Heder,Aaron Ruell,Jon Gries,Efren Ramirez,Shondrella Avery|2004|100|Comedy|underdog,sibling relationship,idaho,high school,chat,independent film,teenager,school dance,social outcast,aftercreditsstinger|$46,118,097.00|English|1h 35m|$400,000.00|-
Another Earth|67.0|Mike Cahill||William Mapother,Brit Marling,Matthew-Lee Erlbach,DJ Flava,Meggan Lennon|2011|100|Drama,Science Fiction|earth,tragedy,janitor,planet,duplicate,cosmology,ego,solar system|$1,776,935.00|English|1h 32m|$100,000.00|http://www.anotherearth.com/
The Mask|67.0|Chuck Russell|Mike Werb|Jim Carrey,Cameron Diaz,Nancy Fish,Tim Bagley,Johnny Williams|1994|100|Romance,Comedy,Crime,Fantasy|dual identity,bank,mockery,green,balloon,jail cell,norse mythology|$351,583,407.00|English|1h 41m|$23,000,000.00|-
Mediterraneo|75.0|Gabriele Salvatores||Diego Abatantuono,Claudio Bigagli,Giuseppe Cederna,Ugo Conti,Claudio Bisio|1991|93|Comedy,Romance,War|world war ii,island,army,greek island,italian army|$4,532,791.00|Italian|1h 36m|-|-
Exorcist: The Beginning|48.0|Renny Harlin|Alexi Hawley|Stellan Skarsgård,Izabella Scorupco,James D'Arcy,Julian Wadham,Remy Sweeney|2004|93|Horror,Mystery,Thriller|secret,obsession,exorcism,remake,priest,good vs evil,paganism,devil,archaeologist,demonic possession,relic,crisis of faith,archaeological dig|$78,000,586.00|English|1h 54m|$80,000,000.00|-
Trainwreck|58.0|Judd Apatow||Amy Schumer,Bill Hader,Brie Larson,Colin Quinn,Vanessa Bayer|2015|100|Comedy,Romance|alcohol,one-night stand,doctor,writer,intern,magazine editor,party girl,older woman younger man|$140,795,793.00|English|2h 5m|$35,000,000.00|-
Extremely Loud & Incredibly Close|70.0|Stephen Daldry|Eric Roth|Thomas Horn,Tom Hanks,Sandra Bullock,Max von Sydow,John Goodman|2011|100|Drama|based on novel,autism,key,scavenger hunt,death of father,young boy,new york city,tambourine,lock,grieving,post 9/11|$55,247,881.00|English|2h 9m|$40,000,000.00|http://extremelyloudandincrediblyclose.warnerbros.com/
Behind Enemy Lines|60.0|John Moore||Owen Wilson,Gene Hackman,Gabriel Macht,Charles Malik Whitfield,David Keith|2001|100|Action,Drama,Thriller,War|helicopter,war crimes,sniper,bosnia and herzegovina,fighter pilot,bosnian war of 1992-1995,rescue,escape,tank,atrocity,gunfight,combat,military,mine field,action hero,aircraft carrier,reconnaissance,mass grave|$91,753,202.00|English|1h 46m|$40,000,000.00|-
This Is Spinal Tap|77.0|Rob Reiner||Christopher Guest,Michael McKean,Harry Shearer,Rob Reiner,June Chadwick|1984|100|Comedy,Music|rock star,groupie,mockumentary,cult film,music band,aftercreditsstinger,duringcreditsstinger,amplifier|$4,736,202.00|English|1h 22m|$2,500,000.00|-
The House of the Devil|61.0|Ti West|Ti West|Jocelin Donahue,Mary Woronov,Greta Gerwig,AJ Bowen,Heather Robb|2009|100|Horror,Mystery|secret,ritual,pizza,cult,independent film,pay phone,human sacrifice,pentagram,eclipse,witchcraft,occult,ceremony,satanic ritual,gravestone|-|English|1h 35m|-|-
The Dinner Game|78.0|Francis Veber|Francis Veber|Thierry Lhermitte,Jacques Villeret,Francis Huster,Daniel Prévost,Alexandra Vandernoot|1998|100|Comedy|fool,tax inspector|$78,599,508.00|French|1h 20m|$12,500,000.00|-
Jason Bourne|60.0|Paul Greengrass||Matt Damon,Alicia Vikander,Tommy Lee Jones,Vincent Cassel,Julia Stiles|2016|100|Action,Thriller|assassin,amnesia,flashback|$415,484,914.00|English|2h 3m|$120,000,000.00|http://www.jasonbournemovie.com
The Thing from Another World|68.0|Christian Nyby|Ben Hecht,Howard Hawks,Charles Lederer|Kenneth Tobey,Margaret Sheridan,Robert Cornthwaite,Douglas Spencer,James Young|1951|100|Horror,Science Fiction|pilot,flying saucer,base,arctic,alien invasion|-|English|1h 27m|-|-
Seeking a Friend for the End of the World|63.0|Lorene Scafaria|Lorene Scafaria|Steve Carell,Keira Knightley,Connie Britton,Adam Brody,Rob Corddry|2012|100|Comedy,Drama,Romance,Science Fiction|asteroid,road trip,end of the world,woman director|$9,636,289.00|English|1h 41m|$10,000,000.00|-
Hide and Seek|62.0|John Polson|Ari Schlossberg|Robert De Niro,Dakota Fanning,Famke Janssen,Elisabeth Shue,Amy Irving|2005|100|Horror,Mystery,Thriller|loss of loved one,house,imaginary friend,suspense|$122,644,820.00|English|1h 41m|$25,000,000.00|-
Home Alone 4|40.0|Rod Daniel|Steve L. Hayes,Debra Frank|French Stewart,Erick Avari,Mike Weinberg,Barbara Babcock,Jason Beghe|2002|93|Crime,Comedy,Family|fight,father,house,crook couple,alone|-|English|1h 29m|-|-
One Man Band|72.0|Mark Andrews,Andrew Jimenez|||2005|71|Animation,Family|fountain,rivalry,coin,bag of money,gold coin,little girl,aftercreditsstinger,one man band,street musician,busker,short,pixar animation|-|English|0h 4m|-|-
The Hitcher|69.0|Robert Harmon||C. Thomas Howell,Rutger Hauer,Jennifer Jason Leigh,Jeffrey DeMunn,John M. Jackson|1986|100|Action,Horror,Thriller|helicopter,mass murder,cop-killer,paranoia,highway,sadism,route 66,car crash,suspense,hitchhiker,false accusations,cult film,road movie|$5,844,868.00|English|1h 37m|$6,000,000.00|-
Fearless|73.0|Ronny Yu|Christine To,Chris Chow|Jet Li,Sun Li,Dong Yong,Shidou Nakamura,Pau Hei-Ching|2006|100|Drama,Action|martial arts,kung fu,patriotism,blindness and impaired vision,sake,restaurant,shanghai,hope,tea,respect,exile,rice,beggar,friendship,sport,child|$6,971,266.00|Mandarin|1h 43m|-|-
The Spirit|48.0|Frank Miller|Frank Miller|Gabriel Macht,Scarlett Johansson,Samuel L. Jackson,Eva Mendes,Paz Vega|2008|100|Action,Comedy,Thriller,Crime,Science Fiction|secret identity,robber,mask,frog,based on comic,back from the dead|$39,031,337.00|English|1h 43m|$60,000,000.00|http://www.mycityscreams.com/
T2 Trainspotting|70.0|Danny Boyle|John Hodge|Ewan McGregor,Jonny Lee Miller,Ewen Bremner,Robert Carlyle,Anjela Nedyalkova|2017|100|Crime,Drama|based on novel,bar,drug addiction,blackmail,cocaine,junkie,heroin,friendship,sequel,revenge,theft,violence,apartment|$42,067,430.00|English|1h 57m|$18,000,000.00|http://www.t2trainspottingmovie.com/
Mighty Joe Young|59.0|Ron Underwood|Merian C. Cooper,Mark Rosenthal|Charlize Theron,Rade Serbedzija,Bill Paxton,Regina King,Peter Firth|1998|100|Action,Adventure,Family,Fantasy|gorilla,dying and death|-|English|1h 54m|$90,000,000.00|-
